Date,PX_LAST,Change,% Change,PX_OPEN,Change,% Change,PX_HIGH,Change,% Change,PX_LOW,Change,% Change
12/18/07,23.11,-1.95,-7.78132482,,,,,,,,,
12/17/07,25.06,1.59,6.77460588,,,,,,,,,
12/14/07,23.47,0.78,3.437637726,,,,,,,,,
12/13/07,22.69,-0.24,-1.046663759,,,,,,,,,
12/12/07,22.93,-0.89,-3.736356003,,,,,,,,,
12/11/07,23.82,2.68,12.67738884,,,,,,,,,
12/10/07,21.14,-0.07,-0.330033003,,,,,,,,,
12/7/07,21.21,-0.14,-0.655737705,,,,,,,,,
12/6/07,21.35,-1.52,-6.646261478,,,,,,,,,
12/5/07,22.87,-1.28,-5.300207039,,,,,,,,,
12/4/07,24.15,0.1,0.415800416,,,,,,,,,
12/3/07,24.05,0.76,3.263203091,,,,,,,,,
11/30/07,23.29,-1.09,-4.470877769,,,,,,,,,
11/29/07,24.38,-0.25,-1.01502233,,,,,,,,,
11/28/07,24.63,-2.22,-8.268156425,,,,,,,,,
11/27/07,26.85,-2.42,-8.267851042,,,,,,,,,
11/26/07,29.27,2.93,11.12376614,,,,,,,,,
11/23/07,26.34,-0.9,-3.303964758,,,,,,,,,
11/21/07,27.24,1.67,6.531091122,,,,,,,,,
11/20/07,25.57,-1.14,-4.268064395,,,,,,,,,
11/19/07,26.71,0.61,2.337164751,,,,,,,,,
11/16/07,26.1,-2.45,-8.581436077,,,,,,,,,
11/15/07,28.55,2.11,7.980332829,,,,,,,,,
11/14/07,26.44,1.39,5.548902196,,,,,,,,,
11/13/07,25.05,-5,-16.63893511,,,,,,,,,
11/12/07,30.05,1.37,4.776847978,,,,,,,,,
11/9/07,28.68,2.45,9.340449867,,,,,,,,,
11/8/07,26.23,-0.26,-0.981502454,,,,,,,,,
11/7/07,26.49,4.78,22.01750345,,,,,,,,,
11/6/07,21.71,-2.81,-11.46003263,,,,,,,,,
11/5/07,24.52,1.75,7.685551164,,,,,,,,,
11/2/07,22.77,-0.62,-2.65070543,,,,,,,,,
11/1/07,23.39,4.57,24.282678,,,,,,,,,
10/31/07,18.82,-2.67,-12.42438343,,,,,,,,,
10/30/07,21.49,1.32,6.544372831,,,,,,,,,
10/29/07,20.17,0.27,1.35678392,,,,,,,,,
10/26/07,19.9,-1.41,-6.616611919,,,,,,,,,
10/25/07,21.31,0.19,0.899621212,,,,,,,,,
10/24/07,21.12,0.48,2.325581395,,,,,,,,,
10/23/07,20.64,-1.35,-6.139154161,,,,,,,,,
10/22/07,21.99,-0.63,-2.785145889,,,,,,,,,
10/19/07,22.62,3.95,21.15693626,,,,,,,,,
10/18/07,18.67,0.36,1.966138722,,,,,,,,,
10/17/07,18.31,-1.82,-9.041231992,,,,,,,,,
10/16/07,20.13,0.3,1.512859304,,,,,,,,,
10/15/07,19.83,2.15,12.16063348,,,,,,,,,
10/12/07,17.68,-1.43,-7.482993197,,,,,,,,,
10/11/07,19.11,2.29,13.61474435,,,,,,,,,
10/10/07,16.82,0.38,2.311435523,,,,,,,,,
10/9/07,16.44,-1.15,-6.537805571,,,,,,,,,
10/8/07,17.59,0.8,4.764740917,,,,,,,,,
10/5/07,16.79,-1.77,-9.536637931,,,,,,,,,
10/4/07,18.56,-0.13,-0.695559123,,,,,,,,,
10/3/07,18.69,0.1,0.537923615,,,,,,,,,
10/2/07,18.59,0.74,4.145658263,,,,,,,,,
10/1/07,17.85,-0.27,-1.490066225,,,,,,,,,
9/28/07,18.12,0.89,5.16540917,,,,,,,,,
9/27/07,17.23,-0.57,-3.202247191,,,,,,,,,
9/26/07,17.8,-0.91,-4.863709246,,,,,,,,,
9/25/07,18.71,-0.46,-2.399582681,,,,,,,,,
9/24/07,19.17,0.23,1.21436114,,,,,,,,,
9/21/07,18.94,-1.41,-6.928746929,,,,,,,,,
9/20/07,20.35,0.26,1.294176207,,,,,,,,,
9/19/07,20.09,-0.96,-4.560570071,,,,,,,,,
9/18/07,21.05,-5.58,-20.95381149,,,,,,,,,
9/17/07,26.63,1.73,6.947791165,,,,,,,,,
9/14/07,24.9,-0.21,-0.836320191,,,,,,,,,
9/13/07,25.11,-0.48,-1.875732708,,,,,,,,,
9/12/07,25.59,0.15,0.589622642,,,,,,,,,
9/11/07,25.44,-2.1,-7.625272331,,,,,,,,,
9/10/07,27.54,0.83,3.107450393,,,,,,,,,
9/7/07,26.71,2.56,10.60041408,,,,,,,,,
9/6/07,24.15,-0.64,-2.581686164,,,,,,,,,
9/5/07,24.79,1.94,8.490153173,,,,,,,,,
9/4/07,22.85,-0.96,-4.031919362,,,,,,,,,
8/31/07,23.81,-1.42,-5.628220373,,,,,,,,,
8/30/07,25.23,1.36,5.697528278,,,,,,,,,
8/29/07,23.87,-2.45,-9.308510638,,,,,,,,,
8/28/07,26.32,3.35,14.58424031,,,,,,,,,
8/27/07,22.97,1.94,9.224916786,,,,,,,,,
8/24/07,21.03,-1.86,-8.125819135,,,,,,,,,
8/23/07,22.89,-0.26,-1.123110151,,,,,,,,,
8/22/07,23.15,-2.37,-9.286833856,,,,,,,,,
8/21/07,25.52,-1.1,-4.132231405,,,,,,,,,
8/20/07,26.62,-3.07,-10.34018188,,,,,,,,,
8/17/07,29.69,-4.67,-13.59138533,,,,,,,,,
8/16/07,34.36,4.15,13.73717312,,,,,,,,,
8/15/07,30.21,2.75,10.01456664,,,,,,,,,
8/14/07,27.46,1.44,5.534204458,,,,,,,,,
8/13/07,26.02,-1.84,-6.604450826,,,,,,,,,
8/10/07,27.86,0.96,3.568773234,,,,,,,,,
8/9/07,26.9,5.18,23.84898711,,,,,,,,,
8/8/07,21.72,-0.1,-0.458295142,,,,,,,,,
8/7/07,21.82,-1.17,-5.089169204,,,,,,,,,
8/6/07,22.99,-2.39,-9.416863672,,,,,,,,,
8/3/07,25.38,3.95,18.43210453,,,,,,,,,
8/2/07,21.43,-2.5,-10.44713748,,,,,,,,,
8/1/07,23.93,-0.09,-0.37468776,,,,,,,,,
7/31/07,24.02,2.88,13.62346263,,,,,,,,,
7/30/07,21.14,-2.43,-10.30971574,,,,,,,,,
7/27/07,23.57,2.67,12.77511962,,,,,,,,,
7/26/07,20.9,2.77,15.27854385,,,,,,,,,
7/25/07,18.13,-0.58,-3.099946553,,,,,,,,,
7/24/07,18.71,1.73,10.18845701,,,,,,,,,
7/23/07,16.98,-0.04,-0.235017626,,,,,,,,,
7/20/07,17.02,1.71,11.16917048,,,,,,,,,
7/19/07,15.31,-0.68,-4.252657911,,,,,,,,,
7/18/07,15.99,0.35,2.237851662,,,,,,,,,
7/17/07,15.64,-0.2,-1.262626263,,,,,,,,,
7/16/07,15.84,0.51,3.326810176,,,,,,,,,
7/13/07,15.33,-0.29,-1.85659411,,,,,,,,,
7/12/07,15.62,-0.96,-5.790108565,,,,,,,,,
7/11/07,16.58,-1.05,-5.955757232,,,,,,,,,
7/10/07,17.63,2.43,15.98684211,,,,,,,,,
7/9/07,15.2,0.44,2.98102981,,,,,,,,,
7/6/07,14.76,-0.68,-4.404145078,,,,,,,,,
7/5/07,15.44,0.49,3.277591973,,,,,,,,,
7/3/07,14.95,-0.51,-3.298835705,,,,,,,,,
7/2/07,15.46,-0.82,-5.036855037,,,,,,,,,
6/29/07,16.28,0.62,3.959131545,,,,,,,,,
6/28/07,15.66,-0.04,-0.25477707,,,,,,,,,
6/27/07,15.7,-3.21,-16.97514543,,,,,,,,,
6/26/07,18.91,1.95,11.49764151,,,,,,,,,
6/25/07,16.96,1.01,6.332288401,,,,,,,,,
6/22/07,15.95,1.75,12.32394366,,,,,,,,,
6/21/07,14.2,-0.61,-4.118838623,,,,,,,,,
6/20/07,14.81,2,15.6128025,,,,,,,,,
6/19/07,12.81,-0.91,-6.632653061,,,,,,,,,
6/18/07,13.72,-0.21,-1.507537688,,,,,,,,,
6/15/07,13.93,0.11,0.795947902,,,,,,,,,
6/14/07,13.82,-1.15,-7.682030728,,,,,,,,,
6/13/07,14.97,-1.69,-10.14405762,,,,,,,,,
6/12/07,16.66,1.39,9.102815979,,,,,,,,,
6/11/07,15.27,0.22,1.46179402,,,,,,,,,
6/8/07,15.05,-2.15,-12.5,,,,,,,,,
